,ID,Negative,Positive,TotalOccurences
0,0,0.07692307692307693,0.9230769230769231,13
1,43646,0.0,1.0,8
2,38,0.14285714285714285,0.8571428571428571,7
3,98394,1.0,0.0,1
4,98430,0.0,1.0,1
5,98431,0.0,1.0,1
6,98433,1.0,0.0,1
7,98437,0.0,1.0,1
8,136,0.0,1.0,1
9,138,0.0,1.0,2
10,153,0.14285714285714285,0.8571428571428571,14
11,98464,0.0,1.0,1
12,98494,0.0,1.0,3
13,98499,0.0,1.0,1
14,98500,0.0,1.0,1
15,199,0.0,1.0,1
16,98505,1.0,0.0,1
17,203,0.0,1.0,3
18,216,0.0,1.0,4
19,32985,0.3333333333333333,0.6666666666666666,3
20,32986,0.0,1.0,1
21,32987,0.0,1.0,2
22,73113,0.0,1.0,1
23,32993,0.0,1.0,1
24,32997,0.0,1.0,4
25,98535,0.0,1.0,1
26,33001,0.0,1.0,1
27,33002,0.0,1.0,1
28,237,0.0,1.0,2
29,98547,0.0,1.0,1
30,33012,0.0,1.0,1
31,98552,0.0,1.0,2
32,256,0.0,1.0,4
33,33031,0.0,1.0,1
34,33032,0.0,1.0,2
35,33033,0.3333333333333333,0.6666666666666666,3
36,33035,0.0,1.0,1
37,33038,0.0,1.0,1
38,33039,0.0,1.0,2
39,33040,0.0,1.0,1
40,33054,0.08333333333333333,0.9166666666666666,108
41,33058,0.0,1.0,1
42,33060,0.0,1.0,1
43,33061,0.0,1.0,1
44,33062,0.0,1.0,1
45,33063,0.0,1.0,1
46,33064,0.0,1.0,1
47,33079,0.0,1.0,1
48,33080,0.0,1.0,6
49,43743,0.0,1.0,2
50,33095,0.0,1.0,1
51,33102,0.0,1.0,1
52,33111,0.0,1.0,32
53,33115,0.3333333333333333,0.6666666666666666,3
54,33117,0.0,1.0,1
55,33118,0.0,1.0,2
56,33119,1.0,0.0,1
57,33120,0.0,1.0,1
58,33125,0.0,1.0,4
59,33129,0.0,1.0,1
60,33140,0.0,1.0,1
61,33141,0.0,1.0,1
62,33142,0.0,1.0,1
63,33146,0.08695652173913043,0.9130434782608695,46
64,33147,0.08333333333333333,0.9166666666666666,36
65,33148,0.0,1.0,10
66,33149,0.0,1.0,18
67,33150,0.041666666666666664,0.9583333333333334,24
68,33151,0.0,1.0,16
69,33152,0.0,1.0,5
70,33153,0.0,1.0,6
71,33154,0.0,1.0,8
72,33155,0.0,1.0,9
73,33156,0.0,1.0,1
74,391,0.047619047619047616,0.9523809523809523,63
75,33161,0.0,1.0,1
76,33166,0.3333333333333333,0.6666666666666666,3
77,33169,0.0,1.0,2
78,33173,0.0,1.0,1
79,33175,0.0,1.0,1
80,33176,0.0,1.0,1
81,45841,0.0,1.0,1
82,33189,0.0,1.0,1
83,33193,0.0,1.0,1
84,33194,0.0,1.0,4
85,33206,0.0,1.0,2
86,33209,0.5,0.5,2
87,33212,0.0,1.0,1
88,76533,1.0,0.0,1
89,33217,0.0,1.0,4
90,33222,0.0,1.0,1
91,33223,0.0,1.0,2
92,33229,0.2727272727272727,0.7272727272727273,11
93,33230,0.4,0.6,5
94,33231,0.2222222222222222,0.7777777777777778,9
95,33232,0.2857142857142857,0.7142857142857143,7
96,33233,0.3,0.7,10
97,33234,0.14285714285714285,0.8571428571428571,7
98,33235,0.1,0.9,10
99,33236,0.4,0.6,5
100,33237,0.125,0.875,8
101,33238,0.16666666666666666,0.8333333333333334,6
102,33239,0.25,0.75,12
103,33240,0.2,0.8,5
104,33241,0.0,1.0,17
105,33243,0.1111111111111111,0.8888888888888888,9
106,33245,0.1,0.9,10
107,33247,0.0,1.0,3
108,33248,0.023809523809523808,0.9761904761904762,84
109,33249,0.04,0.96,25
110,33253,1.0,0.0,1
111,33255,0.0,1.0,2
112,33261,0.0,1.0,2
113,43773,0.0,1.0,1
114,33273,0.0,1.0,1
115,33283,0.0,1.0,1
116,33287,0.0,1.0,3
117,33321,1.0,0.0,1
118,33322,0.0,1.0,2
119,33323,0.0,1.0,10
120,33324,0.25,0.75,4
121,33326,0.0,1.0,4
122,33329,0.0,1.0,16
123,33339,0.0,1.0,2
124,33340,0.2,0.8,5
125,33341,0.0,1.0,1
126,33352,0.0,1.0,1
127,33354,0.0,1.0,4
128,33362,0.0,1.0,1
129,76559,0.0,1.0,1
130,98909,0.0,1.0,1
131,77491,0.0,1.0,3
132,98934,0.0,1.0,1
133,98935,0.0,1.0,1
134,33411,0.14285714285714285,0.8571428571428571,7
135,33423,0.0,1.0,10
136,98971,0.0,1.0,1
137,98975,0.0,1.0,1
138,98976,0.0,1.0,1
139,673,0.0,1.0,3
140,674,0.0,1.0,1
141,676,0.0,1.0,7
142,677,0.0,1.0,1
143,680,0.0,1.0,1
144,681,0.0,1.0,1
145,682,0.0,1.0,1
146,684,0.2,0.8,5
147,686,0.0,1.0,2
148,687,0.0,1.0,1
149,688,0.0,1.0,2
150,691,0.0,1.0,2
151,692,0.0,1.0,2
152,98998,0.0,1.0,1
153,698,0.125,0.875,8
154,699,0.0,1.0,3
155,703,0.0,1.0,1
156,704,0.0,1.0,3
157,706,0.0,1.0,4
158,707,0.2,0.8,5
159,708,0.0,1.0,3
160,710,0.6,0.4,5
161,711,0.0,1.0,1
162,715,0.0,1.0,4
