,ID,Negative,Positive,TotalOccurences
0,253952,0.0,1.0,1
1,8195,0.1111111111111111,0.8888888888888888,9
2,20481,0.0,1.0,3
3,8203,0.0,1.0,2
4,8204,0.0,1.0,22
5,20482,0.0,1.0,1
6,8207,0.0,1.0,4
7,25,0.20689655172413793,0.7931034482758621,29
8,27,0.0,1.0,17
9,8221,0.0,1.0,1
10,30,0.0,1.0,8
11,32,0.0,1.0,4
12,33,0.03225806451612903,0.967741935483871,31
13,278563,0.7142857142857143,0.2857142857142857,7
14,36,0.09090909090909091,0.9090909090909091,11
15,8229,0.0,1.0,19
16,7639,0.0,1.0,1
17,64177,0.0,1.0,1
18,294953,0.0,1.0,2
19,8234,0.0,1.0,24
20,43,0.0,1.0,4
21,46,0.3333333333333333,0.6666666666666666,3
22,47,0.125,0.875,8
23,81968,0.0,1.0,1
24,8242,0.10526315789473684,0.8947368421052632,19
25,8243,0.0,1.0,21
26,278581,0.0,1.0,1
27,55,0.0,1.0,5
28,88656,0.0,1.0,1
29,101044,0.0,1.0,3
30,58719,0.06666666666666667,0.9333333333333333,15
31,63,0.0,1.0,2
32,81989,0.0,1.0,4
33,70,0.0,1.0,1
34,49230,0.0,1.0,6
35,8272,0.0,1.0,3
36,20421,0.0,1.0,1
37,86,0.0,1.0,4
38,87,0.0,1.0,26
39,8280,0.0,1.0,2
40,139354,0.0,1.0,5
41,8283,0.11764705882352941,0.8823529411764706,17
42,50195,0.0,1.0,1
43,73825,0.6,0.4,5
44,99,0.25,0.75,4
45,100,0.0,1.0,8
46,8293,0.0,1.0,2
47,98406,0.0,1.0,2
48,53265,0.0,1.0,5
49,73833,0.0,1.0,5
50,21863,0.0,1.0,3
51,73840,0.0,1.0,1
52,73841,0.2,0.8,5
53,32884,0.0,1.0,1
54,23230,0.0,1.0,2
55,73846,0.0,1.0,1
56,23531,0.0,1.0,1
57,123,0.0,1.0,1
58,82044,0.0,1.0,5
59,50538,0.0,1.0,8
60,24704,0.0,1.0,1
61,49283,0.07142857142857142,0.9285714285714286,14
62,24708,0.0,1.0,4
63,106629,0.0,1.0,2
64,106630,0.0,1.0,4
65,5620,0.0,1.0,1
66,311433,0.0,1.0,7
67,123020,0.0,1.0,6
68,141,0.0,1.0,48
69,311438,0.0,1.0,1
70,16527,0.047619047619047616,0.9523809523809523,21
71,8338,0.0,1.0,1
72,17190,0.0,1.0,5
73,49302,0.0,1.0,2
74,8343,0.0,1.0,10
75,24728,0.0,1.0,1
76,154,0.0,1.0,9
77,103791,0.0,1.0,7
78,156,0.0,1.0,4
79,16541,0.0,1.0,17
80,32795,0.45454545454545453,0.5454545454545454,11
81,56006,0.0,1.0,3
82,168,0.0,1.0,2
83,169,0.0,1.0,16
84,49323,0.0,1.0,4
85,57516,0.0,1.0,3
86,16557,0.0,1.0,12
87,174,0.0,1.0,10
88,65711,0.3333333333333333,0.6666666666666666,3
89,8368,0.1,0.9,10
90,16561,0.0,1.0,8
91,8370,0.0,1.0,5
92,16565,0.0,1.0,1
93,16566,0.0,1.0,33
94,8375,0.0,1.0,4
95,16569,0.0,1.0,17
96,57531,1.0,0.0,1
97,16572,0.0,1.0,2
98,189,0.0,1.0,13
99,190,0.0,1.0,9
100,310371,0.0,1.0,1
101,193,0.0,1.0,11
102,57538,0.16666666666666666,0.8333333333333334,6
103,57539,0.0,1.0,6
104,196,0.0,1.0,27
105,197,0.0,1.0,7
106,65734,0.0,1.0,1
107,17841,0.0,1.0,3
108,16584,0.0,1.0,1
109,49353,0.0,1.0,27
110,16588,0.8,0.2,5
111,205,0.04081632653061224,0.9591836734693877,49
112,8399,0.0,1.0,4
113,131280,0.0,1.0,1
114,209,0.0,1.0,11
115,210,0.08333333333333333,0.9166666666666666,12
116,214,0.0,1.0,9
117,16599,0.0,1.0,2
118,217,0.0,1.0,25
119,218,0.0,1.0,8
120,221,0.0,1.0,33
121,49374,0.4444444444444444,0.5555555555555556,9
122,8415,0.14285714285714285,0.8571428571428571,7
123,57569,0.0,1.0,1
124,46459,0.0,1.0,8
125,49381,0.0,1.0,4
126,231,1.0,0.0,4
127,49384,0.0,1.0,7
128,50556,0.0,1.0,2
129,8426,0.0,1.0,1
130,49388,0.0,1.0,6
131,16621,0.0,1.0,3
132,8430,0.0,1.0,20
133,239,0.0,1.0,16
134,240,0.4444444444444444,0.5555555555555556,9
135,8433,0.0,1.0,16
136,8435,0.0,1.0,11
137,73974,0.0,1.0,1
138,249,0.0,1.0,16
139,49403,0.0,1.0,1
140,57596,0.0,1.0,6
141,311338,0.0,1.0,1
142,57599,0.0,1.0,3
143,16641,0.3,0.7,10
144,16642,0.125,0.875,8
145,16643,0.125,0.875,8
146,8453,0.0,1.0,5
147,98566,0.0,1.0,2
148,57607,0.0,1.0,2
149,23255,0.0,1.0,2
150,8461,0.0,1.0,10
151,82190,0.0,1.0,2
152,49423,0.0625,0.9375,16
153,49425,0.0,1.0,24
154,123154,0.0,1.0,2
155,50563,0.0,1.0,2
156,8238,0.0,1.0,2
157,49110,0.0,1.0,3
158,57625,0.0,1.0,1
159,41243,0.0,1.0,1
160,16668,0.0,1.0,5
161,56026,0.0,1.0,9
162,82206,0.0,1.0,3
163,16671,0.0,1.0,12
164,49440,0.0,1.0,21
165,16673,0.0,1.0,3
166,98596,0.0,1.0,1
167,53297,0.0,1.0,2
168,65834,0.0,1.0,14
169,46471,0.0,1.0,2
170,49453,0.0,1.0,9
171,49454,0.0,1.0,2
172,16687,0.0,1.0,10
173,16690,0.25,0.75,4
174,274483,0.0,1.0,4
175,8501,0.0,1.0,7
176,46473,0.0,1.0,3
