id,ACTION
1,0.926928
2,0.992492
3,0.996673
4,0.995794
5,0.999556
6,0.997136
7,0.976987
8,0.999902
9,0.925435
10,0.995484
11,0.974700
12,0.978277
13,0.992159
14,0.956619
15,0.947061
16,0.960176
17,0.795402
18,0.937378
19,0.997897
20,0.997211
21,0.999760
22,0.993538
23,0.976574
24,0.987867
25,0.995025
26,0.982337
27,0.993714
28,0.985759
29,0.984288
30,0.959454
31,0.993177
32,0.985324
33,0.992668
34,0.995111
35,0.994423
36,0.986730
37,0.991893
38,0.999865
39,0.991008
40,0.965897
41,0.986798
42,0.992366
43,0.990578
44,0.994845
45,0.995444
46,0.987449
47,0.999097
48,0.987385
49,0.999963
50,0.998308
51,0.987768
52,0.994569
53,0.990130
54,0.997811
55,0.980486
56,0.993127
57,0.988901
58,0.999339
59,0.995218
60,0.991424
61,0.996909
62,0.999085
63,0.984944
64,0.997780
65,0.999632
66,0.991484
67,0.990544
68,0.999017
69,0.990326
70,0.950069
71,0.989938
72,0.988883
73,0.996605
74,0.998303
75,0.989835
76,0.999545
77,0.998053
78,0.977071
79,0.697939
80,0.998740
81,0.999575
82,0.996242
83,0.994908
84,0.996983
85,0.990466
86,0.988383
87,0.993327
88,0.998138
89,0.995530
90,0.975986
91,0.991992
92,0.865292
93,0.997594
94,0.995980
95,0.991417
96,0.998510
97,0.223309
98,0.998276
99,0.994026
100,0.997770
101,0.978634
102,0.304619
103,0.996280
104,0.993945
105,0.828756
106,0.996777
107,0.999185
108,0.977503
109,0.995024
110,0.990420
111,0.900918
112,0.992059
113,0.984222
114,0.999097
115,0.981067
116,0.983561
117,0.990180
118,0.994611
119,0.999268
120,0.988512
121,0.991818
122,0.990654
123,0.974806
124,0.997685
125,0.997219
126,0.923075
127,0.890676
128,0.971796
129,0.935217
130,0.995153
131,0.997495
132,0.998084
133,0.992278
134,0.909604
135,0.998915
136,0.965128
137,0.997346
138,0.988907
139,0.959879
140,0.998988
141,0.999259
142,0.977312
143,0.995556
144,0.996255
145,0.999579
146,0.850518
147,0.976236
148,0.905385
149,0.999206
150,0.989499
151,0.998334
152,0.992453
