id,ACTION
1,0.922470
2,0.979959
3,0.996320
4,0.995454
5,0.999228
6,0.996931
7,0.959744
8,0.999894
9,0.923211
10,0.972472
11,0.973679
12,0.976958
13,0.991658
14,0.800959
15,0.946611
16,0.960176
17,0.623887
18,0.813910
19,0.997753
20,0.996128
21,0.999138
22,0.993069
23,0.975097
24,0.981144
25,0.994561
26,0.942346
27,0.993714
28,0.984157
29,0.982891
30,0.918489
31,0.992659
32,0.982939
33,0.991871
34,0.994890
35,0.991606
36,0.986283
37,0.991438
38,0.999743
39,0.990581
40,0.965005
41,0.950938
42,0.992216
43,0.990312
44,0.994654
45,0.995077
46,0.986683
47,0.999043
48,0.983443
49,0.999936
50,0.998213
51,0.987087
52,0.994236
53,0.986843
54,0.997730
55,0.979835
56,0.992590
57,0.988497
58,0.999252
59,0.993546
60,0.990904
61,0.995865
62,0.998091
63,0.983713
64,0.997612
65,0.998604
66,0.991135
67,0.990423
68,0.998960
69,0.989703
70,0.730968
71,0.984439
72,0.988696
73,0.996325
74,0.998148
75,0.989427
76,0.998749
77,0.997924
78,0.964932
79,0.697939
80,0.998594
81,0.999534
82,0.995880
83,0.968358
84,0.996116
85,0.989793
86,0.958420
87,0.979428
88,0.998011
89,0.994997
90,0.863498
91,0.991527
92,0.792005
93,0.997496
94,0.986430
95,0.991011
96,0.998316
97,0.469939
98,0.998143
99,0.993705
100,0.997582
101,0.977838
102,0.355891
103,0.995907
104,0.988849
105,0.486295
106,0.996120
107,0.999123
108,0.976387
109,0.990160
110,0.983067
111,0.841248
112,0.977535
113,0.983161
114,0.998945
115,0.977705
116,0.972799
117,0.989490
118,0.954661
119,0.999217
120,0.988062
121,0.953631
122,0.990325
123,0.893187
124,0.997504
125,0.990278
126,0.837983
127,0.787734
128,0.953327
129,0.932981
130,0.994527
131,0.997307
132,0.997885
133,0.991756
134,0.908258
135,0.998816
136,0.962603
137,0.997145
138,0.936679
139,0.957586
140,0.998915
141,0.998333
142,0.971171
143,0.994918
144,0.995001
145,0.999525
146,0.703187
147,0.783357
148,0.822507
149,0.999139
150,0.987067
151,0.998172
152,0.860525
153,0.994664
154,0.958686
155,0.974911
156,0.966846
157,0.992354
158,0.992157
159,0.977525
160,0.970084
161,0.954109
162,0.996700
163,0.998447
164,0.976742
165,0.990214
166,0.999644
167,0.974582
168,0.991533
169,0.988792
170,0.996036
171,0.997372
172,0.992824
173,0.964344
174,0.994923
175,0.989807
176,0.999279
177,0.959291
178,0.995344
179,0.999438
180,0.921649
181,0.670584
182,0.986754
183,0.945291
184,0.917542
185,0.990733
186,0.972208
187,0.997725
188,0.987043
189,0.619746
190,0.992158
191,0.999530
192,0.996047
193,0.997586
194,0.995277
195,0.968886
196,0.997306
197,0.991528
198,0.976221
199,0.993479
200,0.877988
201,0.995761
202,0.988453
203,0.956857
204,0.992885
205,0.998964
206,0.988961
207,0.995068
208,0.986847
209,0.671949
210,0.780756
211,0.957251
212,0.991551
213,0.998297
214,0.981123
215,0.991481
216,0.911939
217,0.952771
218,0.995438
219,0.995863
220,0.976148
221,0.454508
222,0.999367
223,0.999507
224,0.991898
225,0.959466
226,0.781610
227,0.971157
228,0.990025
229,0.998688
230,0.995254
231,0.982630
232,0.956973
233,0.965410
234,0.126273
235,0.911560
236,0.964211
237,0.969065
238,0.983583
239,0.914801
240,0.998321
241,0.982828
242,0.758329
243,0.485623
244,0.991497
245,0.986095
246,0.999226
247,0.983016
248,0.983657
249,0.988005
250,0.997570
251,0.996470
252,0.962523
253,0.998528
254,0.999107
255,0.999113
256,0.976014
257,0.985038
258,0.940622
259,0.988287
260,0.998644
261,0.992750
262,0.969090
263,0.995855
264,0.998238
265,0.997716
266,0.990876
267,0.980656
268,0.997423
269,0.984721
270,0.995245
271,0.995278
272,0.972443
273,0.995107
274,0.619406
275,0.998155
276,0.938145
277,0.997134
278,0.999008
279,0.987124
280,0.943969
281,0.999594
282,0.998879
283,0.957515
284,0.951554
285,0.997535
286,0.991721
287,0.999529
288,0.996542
289,0.993516
290,0.995050
291,0.661017
292,0.912825
293,0.991745
294,0.986071
295,0.993193
296,0.439378
297,0.688851
298,0.979866
299,0.878615
300,0.996606
301,0.836582
302,0.997165
303,0.567253
304,0.903976
305,0.993765
306,0.994885
307,0.981237
308,0.999524
309,0.935664
310,0.982397
311,0.998586
312,0.996407
313,0.994536
314,0.998706
315,0.999248
316,0.995969
317,0.962219
318,0.996552
319,0.741335
320,0.998682
321,0.996134
322,0.409983
323,0.999655
324,0.991623
325,0.961826
326,0.917156
327,0.995470
328,0.998808
329,0.997339
330,0.994465
331,0.995571
332,0.969375
333,0.993240
334,0.931053
335,0.993188
336,0.981625
337,0.988877
338,0.993492
339,0.990078
340,0.994090
341,0.998741
342,0.989358
343,0.980214
344,0.999418
345,0.999086
346,0.997075
347,0.987835
348,0.983648
349,0.997902
350,0.958216
351,0.973117
352,0.999657
353,0.984206
354,0.879265
355,0.983489
356,0.996758
357,0.993514
358,0.995723
359,0.972538
360,0.557556
361,0.959532
362,0.984026
363,0.975179
364,0.912211
365,0.999396
366,0.999358
367,0.993406
368,0.998887
369,0.991805
370,0.997286
371,0.986286
372,0.994924
373,0.796760
374,0.288837
375,0.953723
376,0.992948
377,0.681438
378,0.990950
379,0.997621
380,0.909712
381,0.862362
382,0.984081
383,0.999676
384,0.990896
385,0.990762
386,0.983723
387,0.861122
388,0.981384
389,0.992246
390,0.993481
391,0.910119
392,0.997444
393,0.947241
394,0.991268
395,0.975838
396,0.991975
397,0.999606
398,0.983836
399,0.995991
400,0.995751
401,0.996666
402,0.993111
403,0.982912
404,0.974308
405,0.998668
406,0.988935
407,0.928723
408,0.994682
409,0.969737
410,0.997731
411,0.997807
412,0.960683
413,0.860201
414,0.996244
415,0.988426
416,0.938260
417,0.989097
418,0.993275
419,0.993608
420,0.992125
421,0.998946
422,0.990038
423,0.957292
424,0.848272
425,0.995219
426,0.973369
427,0.996994
428,0.992385
429,0.958693
430,0.999240
431,0.987596
432,0.989760
433,0.986451
434,0.982088
435,0.993189
436,0.999544
437,0.995994
438,0.187325
439,0.976287
440,0.455283
441,0.992456
442,0.999808
443,0.996179
444,0.995027
445,0.954231
446,0.997766
447,0.889498
448,0.995811
449,0.988103
450,0.982097
451,0.926523
452,0.989775
453,0.997840
454,0.952123
455,0.992534
456,0.992931
457,0.998550
458,0.997664
459,0.996767
460,0.726179
461,0.928067
462,0.998915
463,0.993471
464,0.993468
465,0.982961
466,0.997768
467,0.379212
468,0.980738
469,0.990949
470,0.991636
471,0.993441
472,0.994023
473,0.998116
474,0.994872
475,0.970172
476,0.991902
477,0.996614
478,0.992842
479,0.996736
480,0.998010
481,0.998856
482,0.981928
483,0.999085
484,0.978926
485,0.979765
486,0.930246
487,0.982846
488,0.993275
489,0.994304
490,0.981055
491,0.994754
492,0.987489
493,0.976490
494,0.994022
495,0.992408
496,0.992992
497,0.998051
498,0.998195
499,0.998418
500,0.977520
501,0.985944
502,0.943386
503,0.980495
504,0.984684
505,0.979548
506,0.998161
507,0.996576
508,0.975913
509,0.985348
510,0.413006
511,0.973531
512,0.988392
513,0.997035
514,0.720149
515,0.989674
516,0.990247
517,0.998783
518,0.932021
519,0.963516
520,0.946536
521,0.998104
522,0.995602
523,0.993436
524,0.265033
525,0.545516
526,0.468813
527,0.994728
528,0.991236
529,0.978615
530,0.998837
531,0.932575
532,0.983793
533,0.992918
534,0.973146
535,0.990822
536,0.987128
537,0.999405
538,0.988477
539,0.987190
540,0.947034
541,0.996862
542,0.976213
543,0.923533
544,0.969499
545,0.987765
546,0.993734
547,0.887569
548,0.702138
549,0.915508
550,0.884390
551,0.971197
552,0.949209
553,0.995626
554,0.919577
555,0.996645
556,0.986518
557,0.989137
558,0.968293
559,0.977061
560,0.980464
561,0.996387
562,0.992060
563,0.995752
564,0.755783
565,0.999430
566,0.970985
567,0.956975
568,0.865518
569,0.990262
570,0.980113
571,0.416118
572,0.994359
573,0.954363
574,0.441742
575,0.999396
576,0.994711
577,0.991149
578,0.993078
579,0.837612
580,0.978360
581,0.990230
582,0.989706
583,0.997303
584,0.901055
585,0.995127
586,0.989993
587,0.936021
588,0.992150
589,0.996653
590,0.939145
591,0.978401
592,0.999107
593,0.965367
594,0.987986
595,0.998323
596,0.997773
597,0.994438
598,0.870190
599,0.973536
600,0.972181
601,0.988997
602,0.968273
603,0.999727
604,0.994503
605,0.979286
606,0.995726
607,0.991216
608,0.996616
609,0.978614
610,0.823690
611,0.991572
612,0.986945
613,0.995350
614,0.753639
615,0.999258
616,0.538344
617,0.949343
618,0.995814
619,0.987265
620,0.998690
621,0.997610
622,0.968384
623,0.987147
624,0.920222
625,0.906989
626,0.995029
627,0.993349
628,0.952934
629,0.996132
630,0.997823
631,0.997018
632,0.968992
633,0.997871
634,0.997843
635,0.938532
636,0.993695
637,0.979788
638,0.991358
639,0.967560
640,0.987463
641,0.997724
642,0.971510
643,0.979845
644,0.995673
645,0.998360
646,0.762491
647,0.996517
648,0.953698
649,0.997768
650,0.887195
651,0.993392
652,0.998230
653,0.521622
654,0.979782
655,0.940118
656,0.995047
657,0.989927
658,0.995410
659,0.995621
660,0.965724
661,0.991445
662,0.994874
663,0.995137
664,0.994300
665,0.946106
666,0.627392
667,0.960516
668,0.978698
669,0.958658
670,0.500603
671,0.978753
672,0.978507
673,0.692225
674,0.978052
675,0.970896
676,0.992147
677,0.965692
678,0.997143
679,0.996396
680,0.989846
681,0.544043
682,0.981260
683,0.997907
684,0.991096
685,0.962864
686,0.974894
687,0.990656
688,0.996000
689,0.996731
690,0.998416
691,0.999318
692,0.997569
693,0.934330
694,0.996421
695,0.983714
696,0.720333
697,0.999232
698,0.996272
699,0.997238
700,0.989829
701,0.979379
702,0.994913
703,0.973045
704,0.966022
705,0.909180
706,0.817734
707,0.924344
708,0.998058
709,0.980642
710,0.993911
711,0.904388
712,0.946795
713,0.992445
714,0.998555
715,0.987861
716,0.864447
717,0.993785
718,0.959471
719,0.993447
720,0.993569
721,0.977388
722,0.997971
723,0.984963
724,0.983332
725,0.986885
726,0.962236
727,0.997576
728,0.999038
729,0.911258
730,0.952981
731,0.959151
732,0.999699
733,0.999672
734,0.999973
735,0.988619
736,0.779921
737,0.993002
738,0.996164
739,0.981240
740,0.997373
741,0.992745
742,0.995526
743,0.992092
744,0.998632
745,0.994792
746,0.993690
747,0.985896
748,0.996761
749,0.991290
750,0.999929
751,0.998317
752,0.987805
753,0.968822
754,0.980284
755,0.991547
756,0.723216
757,0.999299
758,0.986073
759,0.941069
760,0.952616
761,0.956783
762,0.960148
763,0.959475
764,0.965110
765,0.993213
766,0.982076
767,0.989939
768,0.995350
769,0.984258
770,0.985247
771,0.998876
772,0.991402
773,0.997800
774,0.994489
775,0.976488
776,0.852782
777,0.966662
778,0.990308
779,0.995860
780,0.523967
781,0.819962
782,0.987785
783,0.997641
784,0.978649
785,0.704657
786,0.975784
787,0.995945
788,0.973589
789,0.982183
790,0.943593
791,0.988039
792,0.994250
793,0.929831
794,0.985047
795,0.996926
796,0.944915
797,0.998559
798,0.997920
799,0.983256
800,0.999382
801,0.997414
802,0.989973
803,0.860779
804,0.995970
805,0.987074
806,0.997561
807,0.960859
808,0.924568
809,0.997799
810,0.995727
811,0.989922
812,0.429340
813,0.998276
814,0.976370
815,0.875958
816,0.999437
817,0.999260
818,0.996945
819,0.992772
820,0.960844
821,0.978416
822,0.997218
