id,ACTION
1,0.634204
2,0.986666
3,0.978611
4,0.979835
5,0.995805
6,0.982810
7,0.984346
8,0.998759
9,0.755647
10,0.987128
11,0.926572
12,0.974154
13,0.976736
14,0.938189
15,0.958376
16,0.965084
17,0.911863
18,0.861308
19,0.990038
20,0.985189
21,0.998418
22,0.978570
23,0.955787
24,0.980079
25,0.980076
26,0.967013
27,0.980802
28,0.843721
29,0.974809
30,0.951244
31,0.983988
32,0.983996
33,0.974844
34,0.992103
35,0.990017
36,0.975702
37,0.986884
38,0.999265
39,0.944899
40,0.952325
41,0.967933
42,0.970808
43,0.989240
44,0.989210
45,0.977236
46,0.977014
47,0.987267
48,0.966213
49,0.999631
50,0.980448
51,0.927530
52,0.988205
53,0.986781
54,0.990752
55,0.953815
56,0.976003
57,0.981479
58,0.995109
59,0.986061
60,0.954121
61,0.984933
62,0.994661
63,0.977671
64,0.989644
65,0.999011
66,0.983576
67,0.947529
68,0.994091
69,0.967566
70,0.905979
71,0.929026
72,0.986330
73,0.973400
74,0.991876
75,0.976934
76,0.995903
77,0.996564
78,0.941530
79,0.530450
80,0.993694
81,0.982573
82,0.985162
83,0.974124
84,0.989551
85,0.969119
86,0.964643
87,0.982834
88,0.989024
89,0.986780
90,0.935689
91,0.969164
92,0.821798
93,0.990649
94,0.977517
95,0.982141
96,0.967286
97,0.550832
98,0.996144
99,0.984442
100,0.989168
101,0.972531
102,0.395588
103,0.967294
104,0.983468
105,0.871301
106,0.994732
107,0.991069
108,0.964004
109,0.986109
110,0.978859
111,0.864458
112,0.987096
113,0.943715
114,0.991010
115,0.957506
116,0.981409
117,0.913805
118,0.985489
119,0.996146
120,0.972069
121,0.983436
122,0.978296
123,0.965925
124,0.987955
125,0.981479
126,0.903723
127,0.837097
128,0.925187
129,0.836336
130,0.980769
131,0.992664
132,0.982532
133,0.954232
134,0.779726
135,0.984511
136,0.909001
137,0.991357
138,0.970189
139,0.879946
140,0.986852
141,0.997131
142,0.963474
143,0.990195
144,0.985362
145,0.992450
146,0.737422
147,0.954325
148,0.958500
149,0.991338
150,0.983330
151,0.986683
152,0.987802
153,0.984137
154,0.927135
155,0.983065
156,0.955218
157,0.989661
158,0.979387
159,0.985303
160,0.930491
161,0.631312
162,0.987064
163,0.993285
164,0.962431
165,0.983101
166,0.990707
167,0.970175
168,0.956924
169,0.986312
170,0.985036
171,0.986683
172,0.966137
173,0.984628
174,0.981060
175,0.967961
176,0.989552
177,0.911282
178,0.988947
179,0.998405
180,0.954325
181,0.298068
182,0.980769
183,0.982463
184,0.895974
185,0.951814
186,0.919841
187,0.979266
188,0.984987
189,0.634993
190,0.989764
191,0.994091
192,0.967286
193,0.991846
194,0.991474
195,0.982282
196,0.993054
197,0.987067
198,0.978736
199,0.956743
200,0.599413
201,0.968635
202,0.978819
203,0.948144
204,0.956924
205,0.991604
206,0.983136
207,0.992663
208,0.953621
209,0.824860
210,0.933734
211,0.962679
212,0.968807
213,0.989196
214,0.979369
215,0.976141
216,0.921151
217,0.958549
218,0.981353
219,0.992524
220,0.982243
221,0.931160
222,0.996463
223,0.974323
224,0.957334
225,0.949202
226,0.602675
227,0.909338
228,0.990953
229,0.990635
230,0.983457
231,0.949225
232,0.935143
233,0.907385
234,0.343782
235,0.968560
236,0.944380
237,0.985162
238,0.989325
239,0.951751
240,0.989103
241,0.985618
242,0.871699
243,0.417780
244,0.960805
245,0.986288
246,0.998800
247,0.965217
248,0.983327
249,0.991601
250,0.991964
251,0.984834
252,0.957532
253,0.988281
254,0.992769
255,0.994595
256,0.965412
257,0.965949
258,0.886006
259,0.920678
260,0.993944
261,0.981049
262,0.984660
263,0.992198
264,0.996033
265,0.990352
266,0.953621
267,0.987482
268,0.983668
269,0.991601
270,0.985912
271,0.994122
272,0.961734
273,0.993431
274,0.853761
275,0.991437
276,0.605001
277,0.994036
278,0.994075
279,0.987318
280,0.955161
281,0.995794
282,0.989171
283,0.972912
284,0.966072
285,0.985811
286,0.956278
287,0.998755
288,0.988416
289,0.967415
290,0.990352
291,0.813302
292,0.915929
293,0.962706
294,0.931048
295,0.990145
296,0.237280
297,0.687493
298,0.990842
299,0.866731
300,0.989766
301,0.879843
302,0.984147
303,0.872622
304,0.933013
305,0.984481
306,0.990291
307,0.969119
