id,ACTION
1,0.617735
2,0.992492
3,0.990274
4,0.985977
5,0.999556
6,0.996112
7,0.976987
8,0.999741
9,0.595267
10,0.995484
11,0.967238
12,0.978277
13,0.991779
14,0.956619
15,0.924815
16,0.924296
17,0.795402
18,0.937378
19,0.991178
20,0.997211
21,0.999760
22,0.991949
23,0.969229
24,0.987867
25,0.983016
26,0.982337
27,0.982326
28,0.934205
29,0.984288
30,0.959454
31,0.977993
32,0.985324
33,0.991517
34,0.994782
35,0.994423
36,0.968028
37,0.991345
38,0.999865
39,0.950890
40,0.954156
41,0.986798
42,0.991658
43,0.984748
44,0.991575
45,0.979018
46,0.985487
47,0.998629
48,0.987385
49,0.999963
50,0.988794
51,0.954076
52,0.991130
53,0.990130
54,0.994973
55,0.970904
56,0.989530
57,0.984984
58,0.999339
59,0.995218
60,0.977061
61,0.996909
62,0.999085
63,0.983503
64,0.982065
65,0.999632
66,0.988499
67,0.939273
68,0.998896
69,0.947529
70,0.950069
71,0.989938
72,0.987674
73,0.994624
74,0.997437
75,0.985716
76,0.999545
77,0.996850
78,0.977071
79,0.431159
80,0.991603
81,0.995073
82,0.993374
83,0.994908
84,0.996983
85,0.981809
86,0.988383
87,0.993327
88,0.993421
89,0.995530
90,0.975986
91,0.977231
92,0.865292
93,0.993055
94,0.995980
95,0.986584
96,0.988823
97,0.223309
98,0.989357
99,0.986145
100,0.996239
101,0.974498
102,0.304619
103,0.982401
104,0.993945
105,0.828756
106,0.996777
107,0.995403
108,0.974792
109,0.995024
110,0.990420
111,0.900918
112,0.992059
113,0.949170
114,0.995303
115,0.981067
116,0.983561
117,0.947698
118,0.994611
119,0.998800
120,0.967090
121,0.991818
122,0.973792
123,0.974806
124,0.988336
125,0.997219
126,0.923075
127,0.890676
128,0.971796
129,0.897653
130,0.994388
131,0.992673
132,0.988781
133,0.985924
134,0.867477
135,0.996068
136,0.961476
137,0.994742
138,0.988907
139,0.859589
140,0.997374
141,0.999259
142,0.977312
143,0.995556
144,0.996255
145,0.997117
146,0.850518
147,0.976236
148,0.905385
149,0.997813
150,0.989499
151,0.991921
152,0.992453
153,0.991699
154,0.957917
155,0.989660
156,0.933697
157,0.995654
158,0.975530
159,0.977397
160,0.961533
161,0.430165
162,0.994852
163,0.997665
164,0.967080
165,0.994231
166,0.998820
167,0.969828
168,0.972637
169,0.985313
170,0.997859
171,0.992792
172,0.988932
173,0.986916
174,0.990512
175,0.979651
176,0.997078
177,0.922219
178,0.997165
179,0.999838
180,0.976236
181,0.120325
182,0.994388
183,0.993139
184,0.970393
185,0.986065
186,0.931687
187,0.978075
188,0.980173
189,0.562898
190,0.974091
191,0.998896
192,0.986934
193,0.989893
194,0.995791
195,0.993209
196,0.998346
197,0.993431
198,0.974291
199,0.986065
200,0.530483
201,0.983502
202,0.987123
203,0.960674
204,0.955744
205,0.997571
206,0.990802
207,0.993644
208,0.952345
209,0.788818
210,0.887336
211,0.985312
212,0.991358
213,0.997506
214,0.979334
215,0.987599
216,0.882854
217,0.978117
218,0.991197
219,0.995738
220,0.996080
221,0.826039
222,0.999359
223,0.990658
224,0.953189
225,0.967846
226,0.573694
227,0.924998
228,0.993801
229,0.996518
230,0.986331
231,0.967357
232,0.940534
233,0.931552
234,0.076071
235,0.968587
236,0.931585
237,0.990475
238,0.973842
239,0.968520
240,0.996312
241,0.982206
242,0.898574
243,0.274796
244,0.983219
245,0.990679
246,0.999559
247,0.983004
248,0.970404
249,0.995707
250,0.997913
251,0.997180
252,0.946286
253,0.999151
254,0.997235
255,0.998693
256,0.987726
257,0.991574
258,0.914185
259,0.940168
260,0.997262
261,0.970103
262,0.985862
263,0.984432
264,0.998991
265,0.996429
266,0.944283
267,0.988613
268,0.992153
269,0.995707
270,0.990630
271,0.994462
272,0.931548
273,0.998088
274,0.377086
275,0.992951
276,0.725737
277,0.999386
278,0.999054
279,0.996239
280,0.949566
281,0.999655
282,0.997779
283,0.970150
284,0.971616
285,0.984581
286,0.951945
287,0.999756
288,0.990344
289,0.984299
290,0.996429
291,0.705237
292,0.948176
293,0.988549
294,0.907979
295,0.993033
296,0.106839
297,0.573321
298,0.984584
299,0.885581
300,0.978524
301,0.790579
302,0.992892
303,0.898976
304,0.932654
305,0.961817
306,0.994849
307,0.981809
308,0.999336
309,0.959494
310,0.998068
311,0.997962
312,0.993361
313,0.990475
314,0.998135
315,0.997142
316,0.989436
317,0.982601
318,0.998872
319,0.963709
320,0.999223
321,0.994243
322,0.077884
323,0.999364
324,0.997715
325,0.966636
326,0.553374
327,0.995643
328,0.999094
329,0.995526
330,0.995643
331,0.975387
332,0.975305
333,0.997308
334,0.972403
335,0.996976
336,0.955538
337,0.998267
338,0.990090
339,0.969892
340,0.989329
341,0.995647
342,0.993271
343,0.945032
344,0.998127
345,0.997170
346,0.983618
347,0.933761
348,0.980234
349,0.998971
350,0.936288
351,0.970247
352,0.999618
353,0.977053
354,0.644625
355,0.980766
356,0.998212
357,0.907982
358,0.970991
359,0.989729
360,0.421049
361,0.988324
362,0.998908
363,0.976242
364,0.870718
365,0.996990
366,0.991461
367,0.956289
368,0.997885
369,0.979195
370,0.993032
371,0.983340
372,0.976595
373,0.898458
374,0.164191
375,0.943458
376,0.993335
377,0.551598
378,0.989663
