id,ACTION
1,0.954976
2,0.989501
3,0.998209
4,0.997604
5,0.999563
6,0.998079
7,0.979702
8,0.999922
9,0.914011
10,0.985854
11,0.986272
12,0.988718
13,0.995838
14,0.901295
15,0.968422
16,0.963142
17,0.802040
18,0.906652
19,0.998661
20,0.998097
21,0.999592
22,0.996758
23,0.988017
24,0.989717
25,0.997403
26,0.967477
27,0.996270
28,0.992613
29,0.991375
30,0.956530
31,0.996549
32,0.991271
33,0.996172
34,0.997427
35,0.995882
36,0.993135
37,0.995155
38,0.999839
39,0.994682
40,0.980952
41,0.975059
42,0.996044
43,0.994987
44,0.997357
45,0.997421
46,0.993624
47,0.999355
48,0.991788
49,0.999957
50,0.998828
51,0.993519
52,0.997200
53,0.993311
54,0.998582
55,0.989812
56,0.996374
57,0.993571
58,0.999611
59,0.996650
60,0.995311
61,0.997982
62,0.999069
63,0.991704
64,0.998779
65,0.999307
66,0.995689
67,0.994039
68,0.999380
69,0.991311
70,0.763612
71,0.992368
72,0.994201
73,0.998122
74,0.999116
75,0.994632
76,0.999112
77,0.998960
78,0.982804
79,0.638966
80,0.999352
81,0.999529
82,0.998099
83,0.982966
84,0.997975
85,0.995148
86,0.979682
87,0.989485
88,0.998865
89,0.997537
90,0.921074
91,0.994723
92,0.892455
93,0.998571
94,0.993591
95,0.995544
96,0.998942
97,0.292532
98,0.998708
99,0.996723
100,0.998782
101,0.989242
102,0.632517
103,0.997657
104,0.994533
105,0.379379
106,0.998093
107,0.999365
108,0.988492
109,0.995169
110,0.991433
111,0.912569
112,0.989326
113,0.991763
114,0.998843
115,0.989043
116,0.986241
117,0.994771
118,0.977597
119,0.999614
120,0.993852
121,0.969754
122,0.994805
123,0.948517
124,0.998477
125,0.995153
126,0.919385
127,0.893509
128,0.975510
129,0.965025
130,0.997342
131,0.998667
132,0.998976
133,0.995776
134,0.950635
135,0.999172
136,0.982162
137,0.998565
138,0.967355
139,0.978143
140,0.999372
141,0.999158
142,0.984990
143,0.997475
144,0.997395
145,0.999672
146,0.844489
147,0.867420
148,0.909242
149,0.999547
150,0.993381
151,0.998852
152,0.901197
153,0.997341
154,0.978975
155,0.987978
156,0.982577
157,0.996181
158,0.995887
159,0.895002
160,0.985730
161,0.974890
162,0.998112
163,0.999131
164,0.988649
165,0.995284
166,0.999631
167,0.986291
168,0.995965
169,0.994327
170,0.998023
171,0.998360
172,0.996208
173,0.979536
174,0.997441
175,0.994666
176,0.999235
177,0.971875
178,0.997616
179,0.999744
180,0.961454
181,0.683003
182,0.993451
183,0.960402
184,0.957678
185,0.995299
186,0.986959
187,0.998755
